AABA,05-Mar-2018,72.2,73.57,71.77,73.44,6524300
AAL,05-Mar-2018,52.9,53.69,52.69,53.19,3974700
AAME,05-Mar-2018,3.25,3.35,3.25,3.35,2400
AAOI,05-Mar-2018,27.95,28.55,27.48,27.53,949400
AAON,05-Mar-2018,35.2,35.75,34.75,35.4,122600
AAPL,05-Mar-2018,175.21,177.74,174.52,176.82,28401300
AAWW,05-Mar-2018,60.05,60.6,59.575,60.3,142900
AAXJ,05-Mar-2018,75.83,76.89,75.8,76.69,869600
AAXN,05-Mar-2018,38.74,39.75,36.91,38.28,2105900
ABAC,05-Mar-2018,2.45,2.45,2.36,2.39,800
ABAX,05-Mar-2018,68.17,69.97,67.57,69.51,98100
ABCB,05-Mar-2018,53.8,55.45,53.3,55.1,204600
ABCD,05-Mar-2018,7.21,7.22,6.95,7.02,62700
ABDC,05-Mar-2018,7.38,7.48,7.25,7.48,46300
ABEO,05-Mar-2018,15.65,16.35,15.35,15.4,1376500
ABEOW,05-Mar-2018,10.85,11.13,10.7,11.1,3100
ABIL,05-Mar-2018,3.9,3.9,3.7,3.7,37800
ABIO,05-Mar-2018,0.7,0.75,0.65,0.68,1554100
ABLX,05-Mar-2018,53.97,54.21,53.74,53.98,34700
ABMD,05-Mar-2018,274.52,281.375,273.18,279.27,436700
ABTX,05-Mar-2018,39.2,39.65,38.4,39.55,18800
ABUS,05-Mar-2018,5.3,5.45,5.3,5.35,55300
ACAD,05-Mar-2018,24.26,24.93,23.75,24.83,2635000
ACBI,05-Mar-2018,17.55,17.95,17.3,17.85,46300
ACER,05-Mar-2018,18,18,17.38,17.58,9700
ACERW,05-Mar-2018,0.0028,0.0036,0.0028,0.0028,467000
ACET,05-Mar-2018,7.3,7.57,7.3,7.5,207100
ACFC,05-Mar-2018,10.49,10.75,10.41,10.68,9200
ACGL,05-Mar-2018,86.3,89.54,86.17,89.14,1033800
ACGLO,05-Mar-2018,24.44,24.57,24.35,24.57,46200
ACGLP,05-Mar-2018,23.69,23.86,23.62,23.86,33200
ACHC,05-Mar-2018,39.71,39.95,39.25,39.75,922900
ACHN,05-Mar-2018,3.51,3.64,3.51,3.62,2312300
ACHV,05-Mar-2018,1.28,1.29,1.25,1.26,61300
ACIA,05-Mar-2018,38.47,39.26,38.22,38.45,370400
ACIU,05-Mar-2018,10.81,11.24,10.68,10.68,146800
ACIW,05-Mar-2018,23.89,24.84,23.74,24.49,1530600
ACLS,05-Mar-2018,24.6,24.95,24.15,24.65,312800
ACMR,05-Mar-2018,8,8.44,7.501,7.855,165900
ACNB,05-Mar-2018,28.272,28.3,28.175,28.2,3100
ACOR,05-Mar-2018,24.5,26.025,24.5,25.95,827100
ACRS,05-Mar-2018,20.33,20.41,19.83,20.13,217400
ACRX,05-Mar-2018,1.7,1.75,1.7,1.7,204600
ACSF,05-Mar-2018,10.8,10.95,10.8,10.85,10400
ACST,05-Mar-2018,1,1.03,0.98,1,65600
ACT,05-Mar-2018,25.59,25.59,25.04,25.45,9300
ACTG,05-Mar-2018,3.55,3.7,3.5,3.55,247800
ACWI,05-Mar-2018,71.8,72.91,71.71,72.78,1765500
ACWX,05-Mar-2018,49.24,49.86,49.2,49.82,714500
ACXM,05-Mar-2018,28.05,29.31,27.905,29.31,570200
ADAP,05-Mar-2018,7.98,8.13,7.86,7.9,311100
ADBE,05-Mar-2018,208.75,212,206.92,211.16,2111800
ADES,05-Mar-2018,10.53,10.98,10.45,10.93,179300
ADI,05-Mar-2018,88.83,91.7,88.765,91.14,2972100
ADMA,05-Mar-2018,3.9,3.98,3.81,3.84,42100
ADMP,05-Mar-2018,3.25,3.4,3.15,3.4,663300
ADMS,05-Mar-2018,24.23,26.26,24.1,25.93,850800
ADOM,05-Mar-2018,1.29,1.35,1.24,1.32,101300
ADP,05-Mar-2018,112.75,116.1,112.71,115.66,1968900
ADRA,05-Mar-2018,35.16,35.18,34.91,34.91,2200
ADRD,05-Mar-2018,22.9,23.22,22.9,23.22,24500
ADRE,05-Mar-2018,44.45,44.97,44.27,44.97,18200
ADRO,05-Mar-2018,6.4,6.8,6.35,6.75,907500
ADRU,05-Mar-2018,22.15,22.47,22.15,22.47,400
ADSK,05-Mar-2018,115.18,119.3,115.05,118.87,2502500
ADTN,05-Mar-2018,15.55,15.95,15.55,15.7,446200
ADUS,05-Mar-2018,34.05,37.25,34.05,36.05,34100
ADVM,05-Mar-2018,7.5,7.85,7.15,7.25,2215900
ADXS,05-Mar-2018,1.91,1.98,1.88,1.96,1240700
ADXSW,05-Mar-2018,0.4,0.42,0.39,0.41,10400
AEGN,05-Mar-2018,22.17,22.78,22.17,22.62,172300
AEHR,05-Mar-2018,2.22,2.38,2.2,2.36,66400
AEIS,05-Mar-2018,66.71,67.84,66.475,67.09,457400
AEMD,05-Mar-2018,1.51,1.55,1.5,1.52,197500
AERI,05-Mar-2018,53.45,55.6,52.7,55.2,320500
AETI,05-Mar-2018,1.28,1.35,1.28,1.35,4400
AEY,05-Mar-2018,1.32,1.38,1.32,1.36,28000
AEZS,05-Mar-2018,1.78,1.8,1.57,1.63,417500
AFAM,05-Mar-2018,55.75,56.25,54.8,55.85,114800
AFH,05-Mar-2018,10.95,11.5,10.75,11.15,362200
AFHBL,05-Mar-2018,24.85,25.01,24.85,24.98,12500
AFMD,05-Mar-2018,2.2,2.25,2.1,2.25,1556000
AFSI,05-Mar-2018,12.93,12.97,12.78,12.8,4978500
AGEN,05-Mar-2018,5.67,6,5.63,5.99,2253300
AGFS,05-Mar-2018,7.53,7.96,7.47,7.82,151600
AGFSW,05-Mar-2018,0.63,0.64,0.58,0.64,2300
AGII,05-Mar-2018,51.5487,54.469,51.5487,54.469,240400
AGIIL,05-Mar-2018,25.07,25.08,25.05,25.06,9400
AGIO,05-Mar-2018,80.79,84.76,80.49,84.23,389400
AGLE,05-Mar-2018,7.24,7.9,7.145,7.69,159900
AGNC,05-Mar-2018,18.2,18.435,18.17,18.31,3275700
AGNCB,05-Mar-2018,25.74,25.95,25.71,25.95,18800
AGNCN,05-Mar-2018,25.05,25.31,25.05,25.27,56200
AGND,05-Mar-2018,44.13,44.14,44.07,44.07,8400
AGRX,05-Mar-2018,3.71,3.87,3.66,3.83,74400
AGTC,05-Mar-2018,4.05,4.25,3.95,4.225,242600
AGYS,05-Mar-2018,10.95,11.19,10.95,10.99,48300
AGZD,05-Mar-2018,48.11,48.25,48.11,48.22,1800
AHGP,05-Mar-2018,25.6,26.2,25.38,25.61,150100
AHPA,05-Mar-2018,9.9,9.9,9.9,9.9,0
AHPAW,05-Mar-2018,0.3,0.32,0.3,0.32,10100
AHPI,05-Mar-2018,4.02,4.28,3.75,3.79,415400
AIA,05-Mar-2018,66.21,67.17,66.19,67.12,105100
AIMC,05-Mar-2018,43.45,43.95,43.15,43.75,62000
AIMT,05-Mar-2018,36.3,37.81,34.25,35.97,2385500
AINV,05-Mar-2018,5.33,5.41,5.29,5.4,965600
AIPT,05-Mar-2018,1.09,1.18,1.09,1.17,192700
AIRG,05-Mar-2018,8.98,9.35,8.71,9.19,72300
AIRR,05-Mar-2018,25.75,26.145,25.7,26.02,13700
AIRT,05-Mar-2018,25,25,25,25,0
AKAM,05-Mar-2018,68.84,70.115,68.278,69.81,1398600
AKAO,05-Mar-2018,10.85,11.35,10.52,10.99,1290700
AKBA,05-Mar-2018,14.47,14.52,14.23,14.34,274900
AKCA,05-Mar-2018,17.39,18.32,17.39,18.02,221200
AKER,05-Mar-2018,0.7,0.74,0.68,0.72,10669800
AKRX,05-Mar-2018,18.78,19.18,17.81,17.93,3723700
AKTS,05-Mar-2018,6.26,6.26,5.82,6.09,234000
AKTX,05-Mar-2018,1.98,2.25,1.98,2.14,181700
ALBO,05-Mar-2018,35.27,35.27,33.98,34.53,50800
ALCO,05-Mar-2018,27.5,28.32,27.5,27.75,9300
ALDR,05-Mar-2018,14.4,15.35,14.225,14.95,1840300
ALDX,05-Mar-2018,8.4,8.55,8.36,8.5,78400
ALGN,05-Mar-2018,252.84,256.64,247.64,255.49,818300
ALGT,05-Mar-2018,164,166.6,162.65,162.9,122700
ALIM,05-Mar-2018,1.21,1.21,1.15,1.175,111600
ALJJ,05-Mar-2018,2.32,2.4,2.27,2.29,55200
ALKS,05-Mar-2018,59.43,60.85,59.43,59.91,1195600
ALLT,05-Mar-2018,5.33,5.44,5.28,5.28,45600
ALNA,05-Mar-2018,6.34,6.76,6.15,6.47,29000
ALNY,05-Mar-2018,120.83,127.99,120.82,126.58,747200
ALOG,05-Mar-2018,84.65,85.8,83.55,84.95,202800
ALOT,05-Mar-2018,13.517,13.8,13.5,13.525,15400
ALPN,05-Mar-2018,8.41,8.65,8.1,8.41,34900
ALQA,05-Mar-2018,1.9,1.9,1.65,1.7,46600
ALRM,05-Mar-2018,37.15,37.19,36.44,36.58,633700
ALRN,05-Mar-2018,8.83,9.1,8.82,8.94,19800
ALSK,05-Mar-2018,2.12,2.16,2.09,2.11,32200
ALT,05-Mar-2018,1.62,1.62,1.53,1.57,182000
ALTR,05-Mar-2018,26.44,26.7,25.63,26.49,64000
ALTY,05-Mar-2018,14.32,14.47,14.31,14.47,7600
