A,16-Feb-2018,71.97,72.7,71.62,71.97,2887100
AA,16-Feb-2018,47.5,50.18,46.52,47.36,8396700
AAC,16-Feb-2018,8.33,8.49,8.29,8.32,56200
AAN,16-Feb-2018,44.22,45.61,43.24,43.4,982100
AAP,16-Feb-2018,108.72,109.34,105.78,107.57,946700
AAT,16-Feb-2018,32.12,32.73,32.12,32.53,475000
AAV,16-Feb-2018,2.95,3,2.9,3,171700
AB,16-Feb-2018,27.05,27.45,26.8,27.35,527000
ABB,16-Feb-2018,25.3,25.6,25.29,25.42,3014500
ABBV,16-Feb-2018,115.23,119.2,115.2,118.6,8828600
ABC,16-Feb-2018,96.73,100.055,96.55,99.4,2787800
ABEV,16-Feb-2018,6.77,6.96,6.77,6.9,17444500
ABG,16-Feb-2018,68.35,69.6,68.1,68.8,143600
ABM,16-Feb-2018,36.3,37.06,36.21,36.62,762800
ABR,16-Feb-2018,8.3,8.45,8.3,8.43,407700
ABR-A,16-Feb-2018,25.07,25.14,25.06,25.13,10100
ABR-B,16-Feb-2018,25.07,25.07,25,25.04,1900
ABR-C,16-Feb-2018,25.75,25.75,25.63,25.66,3200
ABT,16-Feb-2018,59.44,60.54,59.33,60.17,7849100
ABX,16-Feb-2018,13.15,13.37,13.05,13.18,11275800
AC,16-Feb-2018,33.75,34.25,33.55,34.2,28300
ACC,16-Feb-2018,36.3,36.85,36.14,36.77,804900
ACCO,16-Feb-2018,13.7,13.975,13.5,13.65,883500
ACH,16-Feb-2018,15.74,16.065,15.7,15.86,135300
ACM,16-Feb-2018,35.12,35.66,35.07,35.36,1211000
ACN,16-Feb-2018,160.96,163.6,160.845,162.66,1998500
ACP,16-Feb-2018,13.88,14.01,13.88,14.01,50500
ACRE,16-Feb-2018,12.5,12.69,12.5,12.65,131000
ACV,16-Feb-2018,21.68,21.86,21.68,21.74,22900
ADC,16-Feb-2018,45.52,46.89,45.28,46.56,329900
ADM,16-Feb-2018,42.74,43.43,42.63,43.13,3062300
ADNT,16-Feb-2018,63.04,63.5,61.74,61.89,686300
ADS,16-Feb-2018,240.5,246.505,240.5,244.68,563700
ADSW,16-Feb-2018,23.45,24.11,23.45,23.95,122300
ADT,16-Feb-2018,11.76,11.9,11.555,11.58,1617400
ADX,16-Feb-2018,15.26,15.43,15.26,15.34,108800
AEB,16-Feb-2018,24.24,24.46,24.17,24.24,7500
AED,16-Feb-2018,25.68,25.79,25.68,25.79,15300
AEE,16-Feb-2018,56.4,56.85,55.665,56.32,2605600
AEG,16-Feb-2018,6.83,6.87,6.8,6.85,1743300
AEH,16-Feb-2018,25.71,25.72,25.63,25.64,33600
AEK,16-Feb-2018,26.31,26.53,26.26,26.52,18600
AEL,16-Feb-2018,31.4,31.92,31.18,31.79,327500
AEM,16-Feb-2018,43.97,44.05,42.57,43.1,3762600
AEO,16-Feb-2018,18.19,18.775,18.17,18.44,3140200
AEP,16-Feb-2018,66.62,67.52,66.53,67.26,3559500
AER,16-Feb-2018,51.76,52.46,51.68,51.96,1264300
AES,16-Feb-2018,10.44,10.61,10.43,10.45,5665500
AET,16-Feb-2018,176.74,178.87,176.63,178.51,2138300
AEUA,16-Feb-2018,37.02,37.02,35.46,36.04,6400
AFB,16-Feb-2018,12.86,12.86,12.81,12.85,72300
AFC,16-Feb-2018,25.35,25.45,25.33,25.45,8400
AFG,16-Feb-2018,111.48,112.765,111.39,112.12,380700
AFGE,16-Feb-2018,25.42,25.52,25.32,25.34,9500
AFGH,16-Feb-2018,25.2,25.28,25.11,25.11,16300
AFI,16-Feb-2018,14.28,14.77,14.26,14.66,161800
AFL,16-Feb-2018,44.04,45.02,44.04,44.825,2142500
AFS-A,16-Feb-2018,18.49,18.52,18.26,18.4,9700
AFS-B,16-Feb-2018,18.84,18.99,18.75,18.99,28600
AFS-C,16-Feb-2018,19.37,19.45,19.25,19.35,23500
AFS-D,16-Feb-2018,19.02,19.235,19.02,19.185,31800
AFS-E,16-Feb-2018,19.52,19.94,19.52,19.875,24000
AFS-F,16-Feb-2018,19.12,19.12,18.75,19.01,17500
AFSS,16-Feb-2018,23.31,23.35,22.88,22.88,18100
AFST,16-Feb-2018,24.72,24.99,24.7,24.99,3500
AFT,16-Feb-2018,16.2,16.23,16.16,16.22,39700
AG,16-Feb-2018,5.94,6.07,5.69,5.78,3901000
AGC,16-Feb-2018,5.76,5.81,5.73,5.78,86900
AGCO,16-Feb-2018,68.63,70.07,66.91,67.08,1300400
AGD,16-Feb-2018,11.04,11.1,10.98,11.1,36300
